gml_id,expected_deaths_bin_mean,probability,building_type,num_occupants,volume
DEBY_LOD2_8573623,1.7731053514592883e-05,0.08039999999999985,2,3.0,1091.3606578962872
DEBY_LOD2_8573623,2.064870065829804e-05,0.0960800000000013,2,3.0,1091.3606578962872
DEBY_LOD2_8573623,2.4907497095419868e-05,0.04115999999999868,2,3.0,1091.3606578962872
DEBY_LOD2_8573623,3.051084314517653e-05,0.11215999999999918,2,3.0,1091.3606578962872
DEBY_LOD2_8573623,3.9797543900507944e-05,0.19788,2,3.0,1091.3606578962872
DEBY_LOD2_8573623,5.618260133038931e-05,0.26832000000000095,2,3.0,1091.3606578962872
DEBY_LOD2_8573625,3.630450829059155e-05,0.001759999999999995,2,11.0,3967.5928708808074
DEBY_LOD2_8573625,4.8303009456109976e-05,0.0018400000000000122,2,11.0,3967.5928708808074
DEBY_LOD2_8573625,5.71891207245784e-05,0.0021200000000000086,2,11.0,3967.5928708808074
DEBY_LOD2_8573625,6.685014505393346e-05,0.0020399999999999954,2,11.0,3967.5928708808074
DEBY_LOD2_8573625,7.833669793519406e-05,0.00219999999999998,2,11.0,3967.5928708808074
DEBY_LOD2_8573625,9.452638757977696e-05,0.08103999999999988,2,11.0,3967.5928708808074
DEBY_LOD2_8573625,0.00011465952210396609,0.1432800000000003,2,11.0,3967.5928708808074
DEBY_LOD2_8573625,0.0001428845875266051,0.25271999999999967,2,11.0,3967.5928708808074
DEBY_LOD2_8573625,0.00018023301854742992,0.22907999999999942,2,11.0,3967.5928708808074
DEBY_LOD2_8573625,0.00022552453534606634,0.2839200000000007,2,11.0,3967.5928708808074
DEBY_LOD2_8573643,3.882801530476926e-06,0.002119999999999986,2,5.0,1845.338955657165
DEBY_LOD2_8573643,8.261809997904668e-06,0.12731999999999907,2,5.0,1845.338955657165
DEBY_LOD2_8573643,1.178135825621301e-05,0.07256000000000096,2,5.0,1845.338955657165
DEBY_LOD2_8573643,1.7406139966300264e-05,0.002000000000000009,2,5.0,1845.338955657165
DEBY_LOD2_8573643,2.3562150061640145e-05,0.06460000000000067,2,5.0,1845.338955657165
DEBY_LOD2_8573643,2.732663289866426e-05,0.06483999999999836,2,5.0,1845.338955657165
DEBY_LOD2_8573643,3.266488928958413e-05,0.07252000000000093,2,5.0,1845.338955657165
DEBY_LOD2_8573643,4.1520115366098756e-05,0.10443999999999976,2,5.0,1845.338955657165
DEBY_LOD2_8573643,5.574998588663813e-05,0.22127999999999926,2,5.0,1845.338955657165
DEBY_LOD2_8573643,7.92005138766363e-05,0.26832000000000095,2,5.0,1845.338955657165
DEBY_LOD2_8573644,7.698815063715438e-05,0.0016399999999999948,2,19.0,4314.3017214631645
DEBY_LOD2_8573644,9.21444852753908e-05,0.0016799999999999946,2,19.0,4314.3017214631645
DEBY_LOD2_8573644,0.00010514002741177729,0.0018800000000000106,2,19.0,4314.3017214631645
DEBY_LOD2_8573644,0.00011931953691997545,0.002200000000000021,2,19.0,4314.3017214631645
DEBY_LOD2_8573644,0.0001364443372898517,0.0024799999999999688,2,19.0,4314.3017214631645
DEBY_LOD2_8573644,0.00017061710159749438,0.003119999999999998,2,19.0,4314.3017214631645
DEBY_LOD2_8573644,0.00022997838971837613,0.20567999999999956,2,19.0,4314.3017214631645
DEBY_LOD2_8573644,0.00027623317700977264,0.2527199999999981,2,19.0,4314.3017214631645
DEBY_LOD2_8573644,0.000315399204142775,0.22908000000000137,2,19.0,4314.3017214631645
DEBY_LOD2_8573644,0.00037538899140940145,0.29952000000000095,2,19.0,4314.3017214631645
DEBY_LOD2_8573645,1.9032964317304826e-06,0.002119999999999986,2,2.0,426.6836863936628
DEBY_LOD2_8573645,3.3362706584664083e-06,0.19788000000000003,2,2.0,426.6836863936628
DEBY_LOD2_8573645,5.672125477101555e-06,0.002119999999999985,2,2.0,426.6836863936628
DEBY_LOD2_8573645,8.452561291091174e-06,0.04891999999999907,2,2.0,426.6836863936628
DEBY_LOD2_8573645,1.0571020792264346e-05,0.08040000000000005,2,2.0,426.6836863936628
DEBY_LOD2_8573645,1.250501023497356e-05,0.07252000000000088,2,2.0,426.6836863936628
DEBY_LOD2_8573645,1.5244522397091464e-05,0.06464000000000081,2,2.0,426.6836863936628
DEBY_LOD2_8573645,1.7806746531299332e-05,0.11200000000000036,2,2.0,426.6836863936628
DEBY_LOD2_8573645,2.2068393726727822e-05,0.14327999999999858,2,2.0,426.6836863936628
DEBY_LOD2_8573645,3.0614860828369845e-05,0.2761200000000002,2,2.0,426.6836863936628
DEBY_LOD2_8573646,1.5483311684469975e-06,0.0021199999999999865,2,1.0,281.74101006173936
DEBY_LOD2_8573646,2.5668294942922312e-06,0.19788000000000008,2,1.0,281.74101006173936
DEBY_LOD2_8573646,4.614272648824187e-06,0.0021199999999999856,2,1.0,281.74101006173936
DEBY_LOD2_8573646,6.716637797110411e-06,0.06460000000000085,2,1.0,281.74101006173936
DEBY_LOD2_8573646,8.42124275691579e-06,0.08823999999999776,2,1.0,281.74101006173936
DEBY_LOD2_8573646,1.0060347711964763e-05,0.06472000000000133,2,1.0,281.74101006173936
DEBY_LOD2_8573646,1.20745228864503e-05,0.06472000000000011,2,1.0,281.74101006173936
DEBY_LOD2_8573646,1.4185157565910415e-05,0.11180000000000109,2,1.0,281.74101006173936
DEBY_LOD2_8573646,1.7044983581512564e-05,0.12767999999999868,2,1.0,281.74101006173936
DEBY_LOD2_8573646,2.353501934288823e-05,0.27612000000000025,2,1.0,281.74101006173936
DEBY_LOD2_8573647,5.8234465494510964e-05,0.001679999999999998,2,16.0,3682.588593480124
DEBY_LOD2_8573647,7.119658774042363e-05,0.0016399999999999922,2,16.0,3682.588593480124
DEBY_LOD2_8573647,8.250914025565988e-05,0.001999999999999989,2,16.0,3682.588593480124
DEBY_LOD2_8573647,9.247520588598141e-05,0.0021600000000000304,2,16.0,3682.588593480124
DEBY_LOD2_8573647,0.0001065436424751941,0.0023999999999999816,2,16.0,3682.588593480124
DEBY_LOD2_8573647,0.00013360359788104864,0.03431999999999935,2,16.0,3682.588593480124
DEBY_LOD2_8573647,0.00016938508873353924,0.18227999999999983,2,16.0,3682.588593480124
DEBY_LOD2_8573647,0.00020665908825140915,0.24491999999999853,2,16.0,3682.588593480124
DEBY_LOD2_8573647,0.00024189835056669272,0.2368800000000023,2,16.0,3682.588593480124
DEBY_LOD2_8573647,0.0002913450576905395,0.2917200000000001,2,16.0,3682.588593480124
DEBY_LOD2_8573648,3.458182595916681e-05,0.001759999999999995,2,11.0,3566.180528796167
DEBY_LOD2_8573648,4.5942429766634154e-05,0.0018400000000000126,2,11.0,3566.180528796167
DEBY_LOD2_8573648,5.435360152673993e-05,0.002120000000000009,2,11.0,3566.180528796167
DEBY_LOD2_8573648,6.350212110168222e-05,0.002039999999999996,2,11.0,3566.180528796167
DEBY_LOD2_8573648,7.428679046097399e-05,0.0022799999999999886,2,11.0,3566.180528796167
DEBY_LOD2_8573648,8.891320322327934e-05,0.08095999999999988,2,11.0,3566.180528796167
DEBY_LOD2_8573648,0.00010747584835741546,0.1432800000000003,2,11.0,3566.180528796167
DEBY_LOD2_8573648,0.00013323652633558385,0.2527199999999997,2,11.0,3566.180528796167
DEBY_LOD2_8573648,0.0001680754821159712,0.22907999999999945,2,11.0,3566.180528796167
DEBY_LOD2_8573648,0.00021018985726448239,0.2839200000000007,2,11.0,3566.180528796167
DEBY_LOD2_8573649,6.174522469669758e-05,0.001679999999999998,2,17.0,3551.3008340400406
DEBY_LOD2_8573649,7.475591991210645e-05,0.0016399999999999922,2,17.0,3551.3008340400406
DEBY_LOD2_8573649,8.61834411743571e-05,0.001999999999999989,2,17.0,3551.3008340400406
